X,Y
10.0,10.0
10.125,9.875
10.125,9.625
10.125,9.375
10.125,9.125
10.125,8.875
10.125,8.625
10.125,8.375
10.125,8.125
10.125,7.875
10.125,7.625
10.125,7.375
10.125,7.125
10.125,6.875
10.125,6.625
10.125,6.375
10.125,6.125
9.875,6.125
9.625,6.125
9.375,6.125
9.125,6.125
8.875,6.125
8.625,6.125
8.375,6.125
8.125,6.125
7.875,6.125
7.625,6.125
7.375,6.125
7.125,6.125
6.875,6.125
6.625,6.125
6.375,6.125
6.125,6.125
5.875,6.125
5.875,5.875
5.875,5.625
5.875,5.375
5.875,5.125
5.875,4.875
5.875,4.625
5.875,4.375
5.875,4.125
5.875,3.875
5.875,3.625
5.875,3.375
5.875,3.125
5.875,2.875
5.875,2.625
5.875,2.375
5.875,2.125
5.875,1.875
5.875,1.625
5.875,1.375
5.875,1.125
5.875,0.875
5.875,0.625
5.875,0.375
5.875,0.125
5.625,0.125
5.375,0.125
5.125,0.125
4.875,0.125
4.625,0.125
4.375,0.125
4.125,0.125
3.875,0.125
3.625,0.125
3.375,0.125
3.125,0.125
2.875,0.125
2.625,0.125
2.375,0.125
2.125,0.125
1.875,0.125
1.625,0.125
1.375,0.125
1.125,0.125
0.875,0.125
0.625,0.125
0.375,0.125
0.125,0.125
0.0,0.0
